Staff member,Staff role,Interaction type,Region,Branch,Responses,Avg_NPS_score,Avg_satisfaction_score,Avg_behaviour_score,Promoter_count,Passive_count,Detractor_count,Satisfied_count,Neutral_count,Dissatisfied_count,Any_value_add_count,Follow_up_requested_count,NPS,Promoter %,Passive %,Detractor %,Satisfied %,Dissatisfied %,Any value-add %,Follow-up requested %,Dataset label,Coaching focus behaviour,Coaching focus avg score,Low-volume warning flag,Suggested coaching read
Staff M,Member Service Representative,Service,Island & Coastal,Branch G,2,7.0,3.0,2.0,0,2,0,0,2,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Illustrative synthetic data — not actual results,"They either addressed my request during this visit, or clearly explained the next steps.",2.5,Yes,Use cautiously: low synthetic response count
Staff N,Member Service Representative,Service,Island & Coastal,Branch H,3,9.33,4.67,4.33,2,1,0,3,0,0,0,0,66.7,66.7,33.3,0.0,100.0,0.0,0.0,0.0,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,4.33,Yes,Use cautiously: low synthetic response count
Staff O,Financial Services Advisor,Advice,Metro North,Branch A,11,9.27,4.36,3.82,10,1,0,9,2,0,7,0,90.9,90.9,9.1,0.0,81.8,0.0,63.6,0.0,Illustrative synthetic data — not actual results,They contacted me in advance to prepare for the appointment.,4.09,No,Maintain strengths; monitor trend
Staff P,Financial Services Advisor,Advice,Metro North,Branch B,4,8.0,4.0,3.75,1,3,0,3,1,0,3,0,25.0,25.0,75.0,0.0,75.0,0.0,75.0,0.0,Illustrative synthetic data — not actual results,They contacted me in advance to prepare for the appointment.,3.75,Yes,Use cautiously: low synthetic response count
Staff Q,Financial Services Advisor,Advice,Metro South,Branch C,3,7.0,3.33,3.0,1,1,1,1,2,0,2,0,0.0,33.3,33.3,33.3,33.3,0.0,66.7,0.0,Illustrative synthetic data — not actual results,They listened carefully and confirmed their understanding of my needs.,3.0,Yes,Use cautiously: low synthetic response count
Staff R,Financial Services Advisor,Advice,Metro South,Branch D,15,8.73,3.8,3.27,8,7,0,9,5,1,12,0,53.3,53.3,46.7,0.0,60.0,6.7,80.0,0.0,Illustrative synthetic data — not actual results,They contacted me in advance to prepare for the appointment.,3.6,No,Review behaviour patterns and verbatims
Staff S,Financial Services Advisor,Advice,Fraser Valley,Branch E,4,7.75,3.5,3.0,1,2,1,2,2,0,1,0,0.0,25.0,50.0,25.0,50.0,0.0,25.0,0.0,Illustrative synthetic data — not actual results,They tailored their advice to my financial goals and situation.,3.25,Yes,Use cautiously: low synthetic response count
Staff T,Financial Services Advisor,Advice,Fraser Valley,Branch F,9,8.67,3.67,3.22,6,2,1,6,2,1,6,0,55.6,66.7,22.2,11.1,66.7,11.1,66.7,0.0,Illustrative synthetic data — not actual results,They tailored their advice to my financial goals and situation.,3.56,No,Review behaviour patterns and verbatims
Staff U,Financial Services Advisor,Advice,Island & Coastal,Branch G,3,9.33,4.33,3.67,3,0,0,3,0,0,3,0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,Illustrative synthetic data — not actual results,They contacted me in advance to prepare for the appointment.,4.0,Yes,Use cautiously: low synthetic response count
Staff V,Financial Services Advisor,Advice,Island & Coastal,Branch H,4,7.5,3.75,2.75,0,4,0,3,1,0,3,0,0.0,0.0,100.0,0.0,75.0,0.0,75.0,0.0,Illustrative synthetic data — not actual results,They contacted me in advance to prepare for the appointment.,3.0,Yes,Use cautiously: low synthetic response count
Staff W,Small Business Advisor,Advice,Metro South,Branch C,2,7.5,3.0,2.0,0,2,0,0,2,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Illustrative synthetic data — not actual results,They listened carefully and confirmed their understanding of my needs.,2.0,Yes,Use cautiously: low synthetic response count
Staff X,Financial Services Advisor,Advice,Fraser Valley,Branch E,5,7.8,4.2,3.4,2,2,1,4,1,0,3,0,20.0,40.0,40.0,20.0,80.0,0.0,60.0,0.0,Illustrative synthetic data — not actual results,They were knowledgeable and clear in this interaction.,3.6,No,Review behaviour patterns and verbatims
