Response ID,Interaction type,Region,Branch,Value-add outcome selected,Any value-add flag,NPS group,Dataset label
VOM-SYN-0027,Service,Metro North,Branch A,An appointment booked for additional financial support or information,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0028,Service,Fraser Valley,Branch E,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0029,Service,Fraser Valley,Branch F,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0030,Service,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0031,Advice,Metro North,Branch B,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0031,Advice,Metro North,Branch B,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0032,Service,Metro South,Branch D,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0033,Service,Metro North,Branch B,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0034,Advice,Island & Coastal,Branch H,Information or tools to help me manage my finances,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0035,Service,Metro North,Branch B,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0036,Advice,Metro North,Branch A,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0037,Advice,Fraser Valley,Branch F,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0038,Service,Metro South,Branch C,Something else,Yes,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0039,Advice,Metro North,Branch A,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0039,Advice,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0040,Advice,Metro South,Branch C,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0041,Advice,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0041,Advice,Metro South,Branch D,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0042,Advice,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0043,Service,Metro North,Branch A,An appointment booked for additional financial support or information,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0043,Service,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0044,Advice,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0045,Service,Metro South,Branch D,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0046,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0047,Advice,Metro South,Branch D,A clear plan to revisit my needs and goals in the future,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0048,Advice,Metro South,Branch C,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0049,Advice,Metro South,Branch D,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0049,Advice,Metro South,Branch D,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0050,Service,Metro South,Branch C,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0051,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0052,Advice,Fraser Valley,Branch F,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0053,Service,Fraser Valley,Branch E,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0054,Advice,Metro North,Branch A,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0055,Service,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0056,Service,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0056,Service,Metro South,Branch D,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0057,Service,Fraser Valley,Branch F,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0058,Advice,Fraser Valley,Branch E,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0058,Advice,Fraser Valley,Branch E,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0058,Advice,Fraser Valley,Branch E,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0059,Advice,Metro South,Branch D,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0060,Service,Metro North,Branch A,An appointment booked for additional financial support or information,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0061,Service,Metro South,Branch D,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0062,Service,Metro North,Branch B,Something else,Yes,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0063,Service,Metro North,Branch A,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0063,Service,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0063,Service,Metro North,Branch A,An appointment booked for additional financial support or information,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0064,Service,Metro North,Branch A,An appointment booked for additional financial support or information,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0065,Advice,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0066,Service,Metro North,Branch B,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0067,Advice,Fraser Valley,Branch E,A clear plan to revisit my needs and goals in the future,Yes,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0068,Advice,Metro South,Branch D,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0069,Service,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0070,Advice,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0071,Service,Fraser Valley,Branch F,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0072,Advice,Metro South,Branch D,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0073,Advice,Metro South,Branch D,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0073,Advice,Metro South,Branch D,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0074,Advice,Metro South,Branch C,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0075,Advice,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0076,Service,Metro North,Branch B,Information or tools to help me manage my finances,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0077,Service,Metro South,Branch D,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0077,Service,Metro South,Branch D,An appointment booked for additional financial support or information,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0078,Service,Metro South,Branch C,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0079,Service,Island & Coastal,Branch H,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0080,Service,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0081,Service,Metro South,Branch C,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0082,Service,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0083,Advice,Metro South,Branch D,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0083,Advice,Metro South,Branch D,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0083,Advice,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0084,Advice,Island & Coastal,Branch H,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0085,Advice,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0086,Advice,Metro North,Branch A,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0086,Advice,Metro North,Branch A,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0087,Service,Fraser Valley,Branch E,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0087,Service,Fraser Valley,Branch E,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0088,Service,Fraser Valley,Branch F,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0088,Service,Fraser Valley,Branch F,An appointment booked for additional financial support or information,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0088,Service,Fraser Valley,Branch F,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0089,Service,Metro North,Branch A,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0090,Service,Metro South,Branch C,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0091,Service,Metro North,Branch A,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0092,Service,Metro North,Branch A,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0093,Service,Metro South,Branch C,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0094,Service,Metro South,Branch C,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0095,Service,Metro North,Branch B,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0096,Advice,Fraser Valley,Branch E,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0096,Advice,Fraser Valley,Branch E,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0097,Service,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0098,Service,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0099,Service,Metro South,Branch D,Information about how Vancity supports my community,Yes,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0100,Advice,Island & Coastal,Branch H,A recommended product or service relevant to my needs,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0101,Advice,Metro North,Branch A,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0102,Service,Metro North,Branch B,Information or tools to help me manage my finances,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0103,Advice,Fraser Valley,Branch F,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0104,Service,Fraser Valley,Branch F,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0105,Service,Fraser Valley,Branch F,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0105,Service,Fraser Valley,Branch F,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0106,Service,Fraser Valley,Branch F,A recommended product or service relevant to my needs,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0107,Service,Island & Coastal,Branch H,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0108,Advice,Metro North,Branch B,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0109,Advice,Island & Coastal,Branch G,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0110,Service,Island & Coastal,Branch G,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0111,Service,Metro South,Branch C,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0112,Advice,Metro North,Branch A,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0113,Advice,Metro South,Branch D,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0113,Advice,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0114,Service,Metro North,Branch B,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0115,Advice,Fraser Valley,Branch E,A recommended product or service relevant to my needs,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0115,Advice,Fraser Valley,Branch E,Information or tools to help me manage my finances,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0116,Advice,Fraser Valley,Branch E,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0117,Advice,Fraser Valley,Branch F,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0118,Advice,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0119,Advice,Metro South,Branch D,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0120,Advice,Metro South,Branch D,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0120,Advice,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0121,Service,Metro South,Branch D,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0122,Service,Metro South,Branch D,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0123,Service,Metro North,Branch B,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0123,Service,Metro North,Branch B,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0124,Service,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0125,Advice,Fraser Valley,Branch F,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0126,Advice,Metro South,Branch C,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0127,Service,Metro North,Branch B,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0128,Advice,Metro North,Branch A,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0128,Advice,Metro North,Branch A,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0128,Advice,Metro North,Branch A,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0129,Advice,Metro North,Branch A,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0130,Service,Metro North,Branch A,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0131,Advice,Fraser Valley,Branch F,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0132,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0133,Service,Metro South,Branch C,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0134,Service,Metro North,Branch A,An appointment booked for additional financial support or information,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0134,Service,Metro North,Branch A,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0135,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0136,Service,Metro North,Branch A,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0137,Service,Metro South,Branch C,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0138,Advice,Fraser Valley,Branch F,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0138,Advice,Fraser Valley,Branch F,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0138,Advice,Fraser Valley,Branch F,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0139,Service,Island & Coastal,Branch G,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0140,Service,Fraser Valley,Branch F,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0141,Service,Metro South,Branch C,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0142,Service,Metro South,Branch C,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0142,Service,Metro South,Branch C,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0143,Service,Metro South,Branch D,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0144,Advice,Metro South,Branch D,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0144,Advice,Metro South,Branch D,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0145,Advice,Fraser Valley,Branch F,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0146,Service,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0147,Service,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0148,Service,Metro North,Branch A,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0149,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0150,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
