Response ID,Survey date,Region,Branch,Staff member,Staff role,Interaction type,Behaviour item order,Behaviour statement,Behaviour score,Behaviour agreement rating,Behaviour agreement group,NPS score,NPS group,Satisfaction score,Satisfaction group,Dataset label,Low-volume warning flag
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,3,Neither agree nor disagree,Neutral,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,6,They made it easy for me to get what I needed.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,3,Neither agree nor disagree,Neutral,8,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,4,Somewhat agree,Agree,8,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neither agree nor disagree,Neutral,8,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",3,Neither agree nor disagree,Neutral,8,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,2,Somewhat disagree,Disagree,8,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,6,They made it easy for me to get what I needed.,2,Somewhat disagree,Disagree,8,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,10,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Somewhat disagree,Disagree,7,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,7,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,7,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,7,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,4,Somewhat agree,Agree,7,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,6,They made it easy for me to get what I needed.,3,Neither agree nor disagree,Neutral,7,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,5,Strongly agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,6,They made it easy for me to get what I needed.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,3,Neither agree nor disagree,Neutral,5,Detractor,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,3,Neither agree nor disagree,Neutral,5,Detractor,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,5,Detractor,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",3,Neither agree nor disagree,Neutral,5,Detractor,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,4,Somewhat agree,Agree,5,Detractor,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,6,They made it easy for me to get what I needed.,3,Neither agree nor disagree,Neutral,5,Detractor,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,10,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,4,Somewhat agree,Agree,10,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,10,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,10,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,4,Somewhat agree,Agree,10,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,6,They made it easy for me to get what I needed.,4,Somewhat agree,Agree,10,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0150,2026-06-20,Metro North,Branch B,Staff C,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,7,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0150,2026-06-20,Metro North,Branch B,Staff C,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,3,Neither agree nor disagree,Neutral,7,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0150,2026-06-20,Metro North,Branch B,Staff C,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neither agree nor disagree,Neutral,7,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0150,2026-06-20,Metro North,Branch B,Staff C,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",3,Neither agree nor disagree,Neutral,7,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0150,2026-06-20,Metro North,Branch B,Staff C,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,2,Somewhat disagree,Disagree,7,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0150,2026-06-20,Metro North,Branch B,Staff C,Member Service Representative,Service,6,They made it easy for me to get what I needed.,3,Neither agree nor disagree,Neutral,7,Passive,3,Neutral,Illustrative synthetic data — not actual results,No
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,4,Somewhat agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,9,Promoter,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,1,Strongly disagree,Disagree,6,Detractor,1,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,1,Strongly disagree,Disagree,6,Detractor,1,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",1,Strongly disagree,Disagree,6,Detractor,1,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",2,Somewhat disagree,Disagree,6,Detractor,1,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,1,Strongly disagree,Disagree,6,Detractor,1,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,6,They made it easy for me to get what I needed.,1,Strongly disagree,Disagree,6,Detractor,1,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,3,Neither agree nor disagree,Neutral,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,3,Neither agree nor disagree,Neutral,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,6,They made it easy for me to get what I needed.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",5,Strongly agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,3,Neither agree nor disagree,Neutral,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,6,They made it easy for me to get what I needed.,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
