Response ID,Survey date,Region,Branch,Staff member,Staff role,Interaction type,Appointment type,Channel,NPS score,NPS group,Satisfaction rating,Satisfaction score,Satisfaction group,Wait time reasonableness,Behaviour statement,Behaviour score,Behaviour agreement group,Behaviour agreement rating,Value-add outcome selected,Any value-add flag,Verbatim comment,Follow-up permission flag,Low-volume warning flag,Dataset label
VOM-SYN-0011,2026-04-05,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Small business advice,phone,9,Promoter,Satisfied,4,Satisfied,,They were knowledgeable and clear in this interaction.,3,Neutral,Neither agree nor disagree,A recommended product or service relevant to my needs | Information or tools to help me manage my finances,Yes,The advisor listened carefully and connected the conversation to my goals.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0012,2026-04-05,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,Strongly agree,They made it easy for me to get what I needed.,3,Neutral,Neither agree nor disagree,None of the above,No,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0013,2026-04-06,Metro South,Branch C,Staff W,Small Business Advisor,Advice,Account opening / onboarding,in-person,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They listened carefully and confirmed their understanding of my needs.,2,Disagree,Somewhat disagree,None of the above,No,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0014,2026-04-06,Metro North,Branch A,Staff A,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Strongly agree,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs,Yes,The team member was patient and made sure my request was handled before I left.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0015,2026-04-07,Metro North,Branch A,Staff B,Member Service Representative,Service,,,8,Passive,Very satisfied,5,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,None of the above,No,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0016,2026-04-08,Island & Coastal,Branch G,Staff U,Financial Services Advisor,Advice,Small business advice,in-person,9,Promoter,Very satisfied,5,Satisfied,,They contacted me in advance to prepare for the appointment.,4,Agree,Somewhat agree,Information or tools to help me manage my finances | A clear plan to revisit my needs and goals in the future,Yes,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0017,2026-04-08,Metro South,Branch D,Staff H,Member Service Representative,Service,,,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,A recommended product or service relevant to my needs,Yes,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0018,2026-04-09,Metro North,Branch A,Staff B,Member Service Representative,Service,,,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,Somewhat agree,They listened carefully and confirmed their understanding of my request.,2,Disagree,Somewhat disagree,None of the above,No,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0019,2026-04-09,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Somewhat agree,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs,Yes,The team member was patient and made sure my request was handled before I left.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0020,2026-04-10,Island & Coastal,Branch H,Staff V,Financial Services Advisor,Advice,Small business advice,phone,7,Passive,Satisfied,4,Satisfied,,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,A clear plan to revisit my needs and goals in the future,Yes,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0021,2026-04-11,Metro South,Branch C,Staff F,Member Service Representative,Service,,,5,Detractor,Dissatisfied,2,Dissatisfied,Somewhat disagree,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Disagree,Somewhat disagree,None of the above,No,"I had to repeat my request more than once, which made the experience frustrating. The wait time also affected the experience.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0022,2026-04-11,Metro North,Branch B,Staff P,Financial Services Advisor,Advice,Small business advice,in-person,8,Passive,Satisfied,4,Satisfied,,They made me feel recognized and genuinely cared for.,4,Agree,Somewhat agree,A clear plan to revisit my needs and goals in the future,Yes,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0023,2026-04-11,Metro South,Branch D,Staff G,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,Information about how Vancity supports my community,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0024,2026-04-12,Metro South,Branch D,Staff H,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Somewhat agree,"They were patient, respectful, and had a positive attitude.",5,Agree,Strongly agree,A recommended product or service relevant to my needs,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0025,2026-04-12,Island & Coastal,Branch G,Staff U,Financial Services Advisor,Advice,Account opening / onboarding,video,9,Promoter,Satisfied,4,Satisfied,,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A follow-up appointment booked (with this advisor or another specialist) | Something else,Yes,I appreciated the clear explanations and the practical next steps. I also left with something useful beyond the immediate request.,Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0026,2026-04-12,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,4,Detractor,Very dissatisfied,1,Dissatisfied,Strongly disagree,They acknowledged me when I arrived (whether at the wicket or upon entry).,1,Disagree,Strongly disagree,None of the above,No,I waited longer than expected and did not feel the process was explained very well.,Yes,No,Illustrative synthetic data — not actual results
VOM-SYN-0027,2026-04-13,Metro North,Branch A,Staff A,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Strongly agree,They listened carefully and confirmed their understanding of my request.,4,Agree,Somewhat agree,An appointment booked for additional financial support or information,Yes,The team member was patient and made sure my request was handled before I left. I also left with something useful beyond the immediate request.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0028,2026-04-13,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Somewhat agree,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0029,2026-04-14,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,"They were patient, respectful, and had a positive attitude.",3,Neutral,Neither agree nor disagree,None of the above,No,"The service was fine overall, but the wait felt a little longer than expected.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0030,2026-04-15,Metro South,Branch D,Staff H,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,"They were patient, respectful, and had a positive attitude.",3,Neutral,Neither agree nor disagree,A recommended product or service relevant to my needs,Yes,"The service was fine overall, but the wait felt a little longer than expected.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0031,2026-04-15,Metro North,Branch B,Staff P,Financial Services Advisor,Advice,Borrowing / lending advice,in-person,9,Promoter,Very satisfied,5,Satisfied,,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs | A follow-up appointment booked (with this advisor or another specialist),Yes,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0032,2026-04-16,Metro South,Branch D,Staff H,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Somewhat agree,"They were patient, respectful, and had a positive attitude.",4,Agree,Somewhat agree,Something else,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0033,2026-04-17,Metro North,Branch B,Staff D,Member Service Representative,Service,,,5,Detractor,Satisfied,4,Satisfied,Somewhat agree,They listened carefully and confirmed their understanding of my request.,3,Neutral,Neither agree nor disagree,None of the above,No,"The visit felt rushed, and I would have appreciated more patience and clarity.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0034,2026-04-17,Island & Coastal,Branch H,Staff V,Financial Services Advisor,Advice,Financial planning review,video,8,Passive,Satisfied,4,Satisfied,,They contacted me in advance to prepare for the appointment.,2,Disagree,Somewhat disagree,Information or tools to help me manage my finances,Yes,"The appointment covered the basics, but I expected a more specific plan.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0035,2026-04-17,Metro North,Branch B,Staff C,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Neither agree nor disagree,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neutral,Neither agree nor disagree,None of the above,No,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0036,2026-04-18,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Investment conversation,phone,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They contacted me in advance to prepare for the appointment.,2,Disagree,Somewhat disagree,None of the above,No,"It was a decent conversation, but it felt more general than tailored.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0037,2026-04-18,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,General advice appointment,video,6,Detractor,Very dissatisfied,1,Dissatisfied,,They contacted me in advance to prepare for the appointment.,1,Disagree,Strongly disagree,None of the above,No,"The conversation felt rushed, and I left with unresolved questions.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0038,2026-04-19,Metro South,Branch C,Staff E,Member Service Representative,Service,,,3,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,They were knowledgeable and clear in this interaction.,2,Disagree,Somewhat disagree,Something else,Yes,"The staff member resolved part of my request, but I left unsure about the next steps.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0039,2026-04-20,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Financial planning review,in-person,10,Promoter,Very satisfied,5,Satisfied,,They contacted me in advance to prepare for the appointment.,4,Agree,Somewhat agree,A follow-up appointment booked (with this advisor or another specialist) | A recommended product or service relevant to my needs,Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0040,2026-04-20,Metro South,Branch C,Staff Q,Financial Services Advisor,Advice,General advice appointment,in-person,9,Promoter,Neither satisfied nor dissatisfied,3,Neutral,,"They addressed what I came in for, or clearly explained next steps.",4,Agree,Somewhat agree,A follow-up appointment booked (with this advisor or another specialist),Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0041,2026-04-20,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,General advice appointment,in-person,10,Promoter,Very satisfied,5,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",5,Agree,Strongly agree,A recommended product or service relevant to my needs | Information or tools to help me manage my finances,Yes,"The conversation felt personal, respectful, and useful for planning ahead.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0042,2026-04-21,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Borrowing / lending advice,in-person,9,Promoter,Very satisfied,5,Satisfied,,They listened carefully and confirmed their understanding of my needs.,5,Agree,Strongly agree,A recommended product or service relevant to my needs,Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0043,2026-04-22,Metro North,Branch A,Staff A,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",4,Agree,Somewhat agree,An appointment booked for additional financial support or information | A recommended product or service relevant to my needs,Yes,"The visit was smooth, and the staff member explained the next step clearly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0044,2026-04-22,Fraser Valley,Branch E,Staff X,Financial Services Advisor,Advice,Financial planning review,video,6,Detractor,Neither satisfied nor dissatisfied,3,Neutral,,They were knowledgeable and clear in this interaction.,2,Disagree,Somewhat disagree,None of the above,No,"The conversation felt rushed, and I left with unresolved questions.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0045,2026-04-23,Metro South,Branch D,Staff H,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Somewhat agree,They were knowledgeable and clear in this interaction.,3,Neutral,Neither agree nor disagree,None of the above,No,"The visit was smooth, and the staff member explained the next step clearly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0046,2026-04-25,Metro North,Branch B,Staff D,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,3,Neutral,Neither agree nor disagree,None of the above,No,"The staff member helped me, but I had to ask a few follow-up questions.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0047,2026-04-25,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Account opening / onboarding,phone,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,"They addressed what I came in for, or clearly explained next steps.",3,Neutral,Neither agree nor disagree,A clear plan to revisit my needs and goals in the future,Yes,"It was a decent conversation, but it felt more general than tailored.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0048,2026-04-28,Metro South,Branch C,Staff Q,Financial Services Advisor,Advice,Financial planning review,in-person,7,Passive,Satisfied,4,Satisfied,,They made me feel recognized and genuinely cared for.,3,Neutral,Neither agree nor disagree,Something else,Yes,"The appointment was helpful, but I would have liked more detail on the recommended options. I also left with something useful beyond the immediate request.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0049,2026-04-28,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Investment conversation,video,10,Promoter,Satisfied,4,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",3,Neutral,Neither agree nor disagree,Information about how Vancity supports my community | A follow-up appointment booked (with this advisor or another specialist),Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0050,2026-04-28,Metro South,Branch C,Staff E,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",4,Agree,Somewhat agree,Something else,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0051,2026-04-29,Metro North,Branch B,Staff D,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,"They were patient, respectful, and had a positive attitude.",3,Neutral,Neither agree nor disagree,None of the above,No,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0052,2026-04-29,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Investment conversation,in-person,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They made me feel recognized and genuinely cared for.,2,Disagree,Somewhat disagree,None of the above,No,"I got useful information, but I am still comparing what to do next.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0053,2026-05-01,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Somewhat agree,They listened carefully and confirmed their understanding of my request.,3,Neutral,Neither agree nor disagree,Information or tools to help me manage my finances,Yes,"The visit was smooth, and the staff member explained the next step clearly. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0054,2026-05-01,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,General advice appointment,in-person,10,Promoter,Very satisfied,5,Satisfied,,They contacted me in advance to prepare for the appointment.,5,Agree,Strongly agree,Information about how Vancity supports my community,Yes,The advisor listened carefully and connected the conversation to my goals.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0055,2026-05-01,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,5,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Somewhat disagree,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,None of the above,No,"The branch seemed busy, and I did not feel acknowledged until I reached the wicket. The wait time also affected the experience.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0056,2026-05-02,Metro South,Branch D,Staff H,Member Service Representative,Service,,,9,Promoter,Neither satisfied nor dissatisfied,3,Neutral,Somewhat agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Disagree,Somewhat disagree,A recommended product or service relevant to my needs | Information about how Vancity supports my community,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0057,2026-05-02,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,"They were patient, respectful, and had a positive attitude.",2,Disagree,Somewhat disagree,Something else,Yes,"The service was fine overall, but the wait felt a little longer than expected.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0058,2026-05-03,Fraser Valley,Branch E,Staff X,Financial Services Advisor,Advice,Financial planning review,in-person,9,Promoter,Very satisfied,5,Satisfied,,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A clear plan to revisit my needs and goals in the future | A follow-up appointment booked (with this advisor or another specialist) | Information about how Vancity supports my community,Yes,I appreciated the clear explanations and the practical next steps.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0059,2026-05-03,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,General advice appointment,video,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They were knowledgeable and clear in this interaction.,2,Disagree,Somewhat disagree,Something else,Yes,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0060,2026-05-06,Metro North,Branch A,Staff A,Member Service Representative,Service,,,8,Passive,Very satisfied,5,Satisfied,Strongly agree,They listened carefully and confirmed their understanding of my request.,4,Agree,Somewhat agree,An appointment booked for additional financial support or information,Yes,"The staff member helped me, but I had to ask a few follow-up questions.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0061,2026-05-07,Metro South,Branch D,Staff G,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They were patient, respectful, and had a positive attitude.",5,Agree,Strongly agree,Something else,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,,,5,Detractor,Dissatisfied,2,Dissatisfied,Somewhat disagree,They acknowledged me when I arrived (whether at the wicket or upon entry).,1,Disagree,Strongly disagree,Something else,Yes,I waited longer than expected and did not feel the process was explained very well.,No,No,Illustrative synthetic data — not actual results
VOM-SYN-0063,2026-05-09,Metro North,Branch A,Staff A,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,They made it easy for me to get what I needed.,5,Agree,Strongly agree,Information or tools to help me manage my finances | A recommended product or service relevant to my needs | An appointment booked for additional financial support or information,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0064,2026-05-09,Metro North,Branch A,Staff A,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Somewhat agree,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neutral,Neither agree nor disagree,An appointment booked for additional financial support or information,Yes,I appreciated the warm greeting and how easy the transaction felt. I also left with something useful beyond the immediate request.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0065,2026-05-09,Fraser Valley,Branch E,Staff S,Financial Services Advisor,Advice,Borrowing / lending advice,in-person,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They listened carefully and confirmed their understanding of my needs.,2,Disagree,Somewhat disagree,None of the above,No,"It was a decent conversation, but it felt more general than tailored.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0066,2026-05-11,Metro North,Branch B,Staff D,Member Service Representative,Service,,,6,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Disagree,Somewhat disagree,None of the above,No,"The visit felt rushed, and I would have appreciated more patience and clarity.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0067,2026-05-11,Fraser Valley,Branch E,Staff S,Financial Services Advisor,Advice,General advice appointment,phone,6,Detractor,Neither satisfied nor dissatisfied,3,Neutral,,They made it easy for me to get what I needed.,3,Neutral,Neither agree nor disagree,A clear plan to revisit my needs and goals in the future,Yes,"The conversation felt rushed, and I left with unresolved questions.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0068,2026-05-11,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,General advice appointment,phone,7,Passive,Dissatisfied,2,Dissatisfied,,They listened carefully and confirmed their understanding of my needs.,1,Disagree,Strongly disagree,None of the above,No,"The advisor answered my questions, though the next steps could have been clearer.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0069,2026-05-13,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,6,Detractor,Dissatisfied,2,Dissatisfied,Somewhat disagree,They listened carefully and confirmed their understanding of my request.,1,Disagree,Strongly disagree,None of the above,No,"The branch seemed busy, and I did not feel acknowledged until I reached the wicket. The wait time also affected the experience.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0070,2026-05-14,Fraser Valley,Branch E,Staff X,Financial Services Advisor,Advice,Financial planning review,phone,7,Passive,Satisfied,4,Satisfied,,They contacted me in advance to prepare for the appointment.,3,Neutral,Neither agree nor disagree,None of the above,No,"The appointment covered the basics, but I expected a more specific plan.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0071,2026-05-14,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,6,Detractor,Dissatisfied,2,Dissatisfied,Somewhat disagree,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,None of the above,No,"The branch seemed busy, and I did not feel acknowledged until I reached the wicket. The wait time also affected the experience.",Yes,No,Illustrative synthetic data — not actual results
VOM-SYN-0072,2026-05-14,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,General advice appointment,in-person,9,Promoter,Very satisfied,5,Satisfied,,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,None of the above,No,The advisor listened carefully and connected the conversation to my goals.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0073,2026-05-14,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Borrowing / lending advice,in-person,10,Promoter,Satisfied,4,Satisfied,,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A clear plan to revisit my needs and goals in the future | Something else,Yes,The advisor listened carefully and connected the conversation to my goals.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0074,2026-05-15,Metro South,Branch C,Staff Q,Financial Services Advisor,Advice,Financial planning review,phone,5,Detractor,Neither satisfied nor dissatisfied,3,Neutral,,They listened carefully and confirmed their understanding of my needs.,2,Disagree,Somewhat disagree,None of the above,No,I expected more preparation and a clearer explanation of my options.,Not applicable,Yes,Illustrative synthetic data — not actual results
